City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tshikapa,-6.4167,20.8,23.22,93,78,1.87,CD,1707240325
1,key west,24.5557,-81.7826,19.0,77,100,9.26,US,1707240231
2,punta arenas,-53.15,-70.9167,18.01,55,0,5.66,CL,1707240124
3,iwanai,42.9744,140.5089,-6.69,95,96,1.82,JP,1707240326
4,edinburgh of the seven seas,-37.0676,-12.3116,16.85,69,8,2.94,SH,1707240327
5,san fernando,15.0286,120.6898,23.85,84,4,2.32,PH,1707240327
6,blackmans bay,-43.0167,147.3167,13.07,71,20,1.85,AU,1707240210
7,waitangi,-43.9535,-176.5597,17.12,94,54,1.79,NZ,1707240328
8,kirkwall,58.9848,-2.9587,4.03,60,40,10.8,GB,1707240329
9,tiksi,71.6872,128.8694,-23.4,98,100,2.87,RU,1707240240
10,gadzhiyevo,69.2551,33.3362,-16.67,97,99,5.51,RU,1707240330
11,puerto natales,-51.7236,-72.4875,21.25,28,75,6.17,CL,1707240330
12,saipan,15.1355,145.701,25.39,73,100,4.12,MP,1707240331
13,buka,40.8108,69.1986,8.68,34,100,1.96,UZ,1707240331
14,port alfred,-33.5906,26.891,23.43,89,36,2.68,ZA,1707240235
15,inhambane,-23.865,35.3833,26.99,83,20,3.6,MZ,1707240332
16,ilulissat,69.2167,-51.1,-13.99,47,75,8.75,GL,1707240332
17,albany,42.6001,-73.9662,1.8,60,7,0.89,US,1707240330
18,thompson,55.7435,-97.8558,-20.91,65,20,4.63,CA,1707240333
19,korla,41.7597,86.1469,-4.77,76,15,1.77,CN,1707240334
20,manismata,-2.4667,111.0333,23.91,95,100,1.32,ID,1707240334
21,kralendijk,12.15,-68.2667,30.99,70,40,4.12,BQ,1707240156
22,castillos,-34.1667,-53.8333,28.44,50,2,5.78,UY,1707240335
23,emerald,-23.5333,148.1667,26.3,72,76,4.33,AU,1707240129
24,kodiak,57.79,-152.4072,-4.27,93,0,2.06,US,1707240209
25,mugia,43.1041,-9.2179,14.39,85,43,7.23,ES,1707240336
26,kharp,66.8014,65.8081,-19.53,100,99,1.39,RU,1707240337
27,mahajanga,-15.7167,46.3167,26.01,94,40,2.06,MG,1707240337
28,grand-bassam,5.2118,-3.7388,30.98,64,2,5.3,CI,1707240338
29,rikaze,29.25,88.8833,-2.51,16,0,0.77,CN,1707240338
30,manokwari,-0.8667,134.0833,25.34,87,100,2.13,ID,1707240339
31,richards bay,-28.783,32.0377,24.02,75,3,3.23,ZA,1707240339
